Length,EffectiveLength,TPM,NumReads,Weight
"1672","1472.991","0.000000","0.000000","0"
"3229","3029.991","20.638372","2032.000000","10000"
"4627","4427.991","13.886148","1998.000000","9998"
"578","379.005","14.940537","184.000000","9979"
"2499","2299.991","3.581666","267.681402","9995"
"1070","870.991","8.234501","233.054648","9995"
"1533","1333.991","4.643081","201.263950","9993"
"593","394.004","53.189926","680.984898","9977"
"4466","4266.991","5.380345","746.000000","10000"
"4416","4216.991","26.012769","3564.480253","9949"
"2698","2487.991","7.384458","597.000000","9998"
"704","505.000","45.131283","740.587197","-25"
"319","120.015","4.846424","18.900025","9989"
"921","721.998","27.173515","637.512777","9959"
"1295","1095.991","0.870458","31.000000","9996"
"1328","1128.991","0.000000","0.000000","0"
"705","506.000","62.014285","1019.645889","-25"
"1622","1422.991","144.036761","6660.125040","9967"
"747","547.999","60.653799","1080.052986","9972"
"2800","2600.991","19.029813","1608.348999","9970"
"3568","3368.991","7.957441","871.124452","9968"
"3451","3251.991","29.123632","3077.526549","9982"
"947","747.998","48.705194","1183.812133","9975"
"1042","842.991","19.876917","544.476052","9981"
"831","631.998","23.985579","492.575749","-15"
"3867","3667.991","2.192945","261.374339","-16"
"3996","3796.991","0.954253","117.736261","9984"
"1197","997.991","3.792902","123.000000","9997"
"2642","2442.991","0.037791","3.000000","10000"
"1154","954.991","123.680483","3838.020440","9995"
"1008","808.991","101.418121","2666.036272","9995"
"1450","1250.991","19.457377","790.943289","9997"
"856","656.998","69.022600","1473.541853","9998"
"919","719.998","19.786296","462.916720","9998"
"2400","2200.991","10.941633","782.541427","9996"
"1230","1030.991","27.947378","936.273629","9998"
"1545","1345.991","49.608482","2169.726371","9998"
"2391","2191.991","13.927270","992.000000","10000"
"531","332.007","7.230044","78.000000","9997"
"1170","970.991","5.973661","188.478838","-8"
"1187","987.991","0.047382","1.521162","-6"
"2750","2550.991","14.812155","1227.818303","9979"
"1825","1625.991","4.588118","242.415093","9987"
"707","508.000","27.255620","449.911275","9956"
"1127","927.991","43.177788","1302.000000","10000"
"4469","4269.991","2.472067","343.000000","9995"
"2874","2674.991","13.897532","1208.000000","10000"
"5257","5057.991","0.153617","25.247890","9993"
"1128","928.991","28.147645","849.689799","9998"
"897","697.998","65.958434","1496.000000","9995"
"3111","2911.991","1.271374","120.301327","9998"
"3921","3721.991","3.187055","385.453323","9998"
"3009","2809.991","0.000000","0.000000","-3"
"933","733.998","32.703381","780.000000","9996"
"2840","2640.991","24.295856","2085.000000","10000"
"1978","1778.991","20.914411","1209.000000","9982"
"1791","1591.991","5.141563","265.976123","9988"
"1707","1507.991","12.816044","628.000000","9995"
"4815","4597.991","4.856040","725.533229","9991"
"2280","2080.991","11.471847","775.729809","9989"
"1807","1607.991","7.229345","377.736962","-9"
"7453","7253.991","3.775327","889.894676","9991"
"1669","1469.991","0.711799","34.000000","-16"
"2539","2339.991","2.747636","208.920123","9991"
"855","655.998","2.164181","46.132098","9996"
"3980","3780.991","0.000000","0.000000","0"
"5282","5082.991","26.543860","4384.200189","9998"
"5427","5227.991","7.039093","1195.799811","9998"
"6944","6744.991","10.976155","2405.683918","-11"
"1642","1442.991","45.347014","2126.273850","9971"
"1344","1144.991","326.428890","12145.000000","9998"
"9298","9098.991","8.320530","2460.091045","9986"
"4015","3815.991","13.250366","1643.017420","9998"
"627","428.002","21.288958","296.079043","9991"
"2550","2350.991","0.000000","0.000000","-2"
"1474","1274.991","10.874708","450.538157","9998"
"2859","2659.991","9.988206","863.325521","9990"
"1150","950.991","16.015041","494.892972","9995"
"3601","3401.991","0.388981","43.000000","10000"
"6169","5969.991","5.551816","1077.000000","9998"
"7295","7095.991","0.000000","0.000000","-9"
"3762","3562.991","0.000000","0.000000","-2"
"2053","1853.991","0.002221","0.133802","-2"
"6714","6514.991","15.314126","3241.999969","9995"
"3758","3558.991","2.372000","274.314348","9998"
"4686","4486.991","0.942068","137.355036","9964"
"3216","3016.991","7.609531","746.000000","10000"
"1588","1388.991","55.877732","2522.000000","9998"
"1853","1653.991","30.235233","1625.000000","9998"
"1191","991.991","17.233312","555.499057","-17"
"562","363.005","96.476681","1138.000000","9990"
"1781","1581.991","18.000123","925.308098","9995"
"3483","3283.991","11.758456","1254.755794","9988"
"2242","2042.991","6.432125","427.000000","9921"
"3432","3232.991","1.425735","149.778782","9990"
"2416","2216.991","5.274882","380.000000","10000"
"3861","3661.991","8.966856","1067.000000","10000"
"3176","2976.991","57.486840","5561.000000","9979"
"670","471.001","21.130531","323.399206","9997"
"505","306.007","24.020578","238.848195","9995"
"1387","1187.991","50.514330","1950.000000","10000"
"4505","4305.991","10.956254","1533.000000","9998"
"1260","1060.991","29.307046","1010.393608","9993"
"4370","4170.991","9.718300","1317.153809","9995"
"679","480.001","0.000000","0.000000","0"
"2826","2626.991","0.000000","0.000000","0"
"2623","2423.991","5.194135","409.120446","9997"
"3066","2866.991","47.616588","4436.000000","9995"
"6708","6508.991","5.541240","1172.000000","10000"
"1123","923.991","22.315172","670.000000","10000"
"4835","4635.991","0.000000","0.000000","-12"
"2095","1895.991","18.962984","1168.287817","9995"
"873","673.998","5.761930","126.192545","9993"
"832","632.998","39.113546","804.519637","9995"
"1962","1762.991","23.338579","1337.000000","9995"
"2228","2028.991","24.616794","1623.000000","9991"
"2750","2550.991","17.094405","1417.000000","9835"
"4134","3934.991","4.715839","602.989435","9998"
"734","534.999","10.297182","179.010565","9998"
"805","605.998","21.483980","423.051489","9991"
"1156","956.991","13.988610","435.000000","9998"
"3964","3764.991","2.043474","250.000000","10000"
"2474","2274.991","5.650652","417.719922","9995"
"5070","4870.991","0.000000","0.000000","0"
"1129","929.991","0.000000","0.000000","-3"
"1606","1406.991","48.905370","2235.912214","-17"
"781","581.998","50.392290","953.000000","9956"
"3605","3405.991","49.336473","5460.325611","9998"
"1454","1254.991","19.391781","790.797299","9971"
"1732","1532.991","12.593188","627.309983","9976"
"1385","1185.991","35.445609","1366.000000","10000"
"2523","2323.991","0.000000","0.000000","0"
"2217","2017.991","141.893209","9304.386630","9976"
"3978","3778.991","17.907808","2199.000000","9998"
"5705","5505.991","9.345312","1672.000000","10000"
"1507","1307.991","8.219920","349.364845","9995"
"983","783.998","3.223817","82.128204","9995"
"6103","5903.991","6.831583","1310.611611","9998"
"7031","6831.991","6.083217","1350.478123","9977"
