ID,Length,EffectiveLength,TPM,NumReads,Weight
"ENST00000608495","1672","1472.991","0.000000","0.000000","0"
"ENST00000382352","3229","3029.991","20.638372","2032.000000","10000"
"ENST00000342665","4627","4427.991","13.886148","1998.000000","9998"
"ENST00000609179","578","379.005","14.940537","184.000000","9979"
"ENST00000217233","2499","2299.991","3.581666","267.681402","9995"
"ENST00000449710","1070","870.991","8.234501","233.054648","9995"
"ENST00000422053","1533","1333.991","4.643081","201.263950","9993"
"ENST00000411647","593","394.004","53.189926","680.984898","9977"
"ENST00000354200","4466","4266.991","5.380345","746.000000","10000"
"ENST00000217244","4416","4216.991","26.012769","3564.480253","9949"
"ENST00000381962","2698","2487.991","7.384458","597.000000","9998"
"ENST00000381899","704","505.000","45.131283","740.587197","-25"
"ENST00000435720","319","120.015","4.846424","18.900025","9989"
"ENST00000381898","921","721.998","27.173515","637.512777","9959"
"ENST00000381808","1295","1095.991","0.870458","31.000000","9996"
"ENST00000537552","1328","1128.991","0.000000","0.000000","0"
"ENST00000381715","705","506.000","62.014285","1019.645889","-25"
"ENST00000400137","1622","1422.991","144.036761","6660.125040","9967"
"ENST00000381719","747","547.999","60.653799","1080.052986","9972"
"ENST00000476071","2800","2600.991","19.029813","1608.348999","9970"
"ENST00000216879","3568","3368.991","7.957441","871.124452","9968"
"ENST00000381658","3451","3251.991","29.123632","3077.526549","9982"
"ENST00000569387","947","747.998","48.705194","1183.812133","9975"
"ENST00000344103","1042","842.991","19.876917","544.476052","9981"
"ENST00000216927","831","631.998","23.985579","492.575749","-15"
"ENST00000356025","3867","3667.991","2.192945","261.374339","-16"
"ENST00000358771","3996","3796.991","0.954253","117.736261","9984"
"ENST00000400064","1197","997.991","3.792902","123.000000","9997"
"ENST00000381458","2642","2442.991","0.037791","3.000000","10000"
"ENST00000381342","1154","954.991","123.680483","3838.020440","9995"
"ENST00000438552","1008","808.991","101.418121","2666.036272","9995"
"ENST00000339610","1450","1250.991","19.457377","790.943289","9997"
"ENST00000445139","856","656.998","69.022600","1473.541853","9998"
